bus,Vm_mean,Vm_std,Vm_min,Vm_max,Va_mean,Va_std,Va_min,Va_max,Pd_mean,Pd_std,Pd_min,Pd_max,Qd_mean,Qd_std,Qd_min,Qd_max,Pg_mean,Pg_std,Pg_min,Pg_max,Qg_mean,Qg_std,Qg_min,Qg_max
0,1.0019600138373503,0.0005337252488640962,0.9982117759598845,1.002500965462553,-5.8982512016716475,42.06336675369432,-179.9990311523801,179.93484800703675,91.76354015830796,5.836775228262975,76.71694014968661,111.84276865475735,18.69646298153149,1.1905753780085573,15.671645644967873,22.62278878888393,119.99114958352563,36.0714836725387,46.40251150032544,192.0000038775967,-0.6974834911142872,4.180438602794122,-5.0057327953827535,29.30579232092366
1,1.0020329345065078,0.00048568311832953524,0.9975049721329073,1.0025004334374323,-5.9322176470918935,42.06610698522793,-179.98911504220632,179.9841511335702,82.44906957092043,5.233168228874066,68.5283422385931,99.46762243536898,16.996663563269912,1.0801150570573894,14.245440984542398,20.67883597454672,117.15741190915917,36.12291338916179,46.40123412133104,192.00000399997333,-1.2647270694379042,3.8079976576164807,-5.003204490766854,34.96022293674146
2,0.9810285486507153,0.005420764547315864,0.9500233829240189,0.9969840519864036,-5.243675573638795,42.00792495136036,-179.99468943734104,179.96138001976533,152.97020757640277,9.70294830185577,127.9788323759557,187.3660378988571,31.450362748740464,1.9993823671267217,26.21368140674554,37.849748237484455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9809021181925061,0.005641223276772014,0.9499999900000937,0.994487978660415,-6.901256114461902,42.062024284923886,-179.99586557984958,179.956932938499,62.88449692928091,3.9994116877525663,52.55028059543556,76.0641530940152,12.74944628457628,0.8064089283151724,10.717582571834132,15.47536213944685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9983640602064567,0.004765559716640732,0.9623813889723278,1.0140122364118112,-7.136664652952498,42.071794873149486,-179.9999388336006,179.99176278638322,60.33134330178035,3.8265759011705813,50.34331653821144,72.87649621773268,11.896311088432505,0.7581662364348264,9.902299441862553,14.381818115562089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0015126597459143,0.006193554165114574,0.972798733889256,1.0262989923445633,-8.475521874074355,42.09859423725839,-179.9906659950334,179.99219561676784,115.59342953895295,7.323409890074996,96.42849847405942,139.8359080332593,23.79542230913636,1.513580501524101,19.94384929116574,28.860809769020875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0089216269360635,0.0015978129025070848,0.994218773560172,1.014017994396035,-2.194447706951808,42.08919240515806,-179.99133889557152,179.99680964653544,106.24425722872567,6.776960234310423,88.35154975425137,129.24099739899,21.245329985778522,1.354114976713377,17.76013097484147,25.912153680621874,230.11050537051258,40.49067325267931,50.00035069925438,299.95485274605034,35.474720692492475,7.624596026578766,5.892033623787903,108.57854029506964
7,0.9832280280882235,0.005059991473890362,0.950164562835813,1.0004119701037026,-5.935881466491245,42.0650859572344,-179.9900133114782,179.9924745777115,145.31447155331873,9.217479390075521,121.15210723141854,177.48915869986902,29.739470494375137,1.89018218506551,24.7301908670408,35.99734228019563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9938101969701602,0.005944070011584315,0.9584618672090811,1.0119525076170062,-4.389930021098197,41.994050499577796,-179.97866119538918,179.9915757959634,148.71874266183062,9.437501731679223,123.79732612080919,179.46660707300393,30.597596372728592,1.942570044599827,25.481150946238373,37.036149732295485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0188219424909848,0.005536985860394843,0.9928565266395593,1.0434796254230037,-5.8021996600397285,42.02930513191378,-179.95532120379448,179.99771684509892,165.68214411961233,10.517047467515166,138.80707275252695,200.8322305097219,33.99135617259381,2.168437666909814,28.301073991892125,41.27579338474445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9900722134922272,0.004202524961982022,0.9633536341524607,1.0103162260233114,0.0567493439556105,41.97035596554478,-179.9671778643968,179.9999528314197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.9875256179488121,0.004561199450598268,0.9584976188150175,1.0071399007507227,1.3610293734149839,41.97441487378981,-179.9876982609831,179.98611079808984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0068699079900292,0.0017868334501734075,0.9927901508162944,1.01380375516174,5.078072052776051,42.03342564751916,-179.9925999276944,179.99408911997585,225.13014847376633,14.316307184539257,189.41241921897043,272.4990531005497,45.891567456726264,2.912188615216895,38.48713206271077,56.07103145654157,508.95355805803115,75.5781176987096,206.9999970000018,591.0000059099875,78.78049395092825,10.720774683742327,37.177469029559546,163.2590951022335
13,0.999980765106182,0.004227630251383726,0.9753677223274644,1.0195565324266702,0.7143691666079401,41.97441294242783,-179.99434309153912,179.95451320064046,164.88093819167202,10.469668694170203,137.2263101788373,199.36982281468187,33.14300596589972,2.1099590687485383,27.631504762380672,40.12889770187934,0.0,0.0,0.0,0.0,74.02136219073176,8.511203018992845,0.0,75.00000144659926
14,0.9992946279938254,0.000658837226793263,0.9984993987432881,1.0015000004920318,4.827375942522757,42.01389716201382,-179.99566917783577,179.98227742787594,269.48370503568316,17.083727792165696,226.8465549860456,331.48355039163465,54.378668375724985,3.4622802820723058,45.37595604071427,65.67232323788699,183.77744470808108,25.104854123554063,19.68434616536027,215.0000065499944,37.9630572678776,7.895834391967688,8.00509939647962,48.00288097236441
15,1.0014240899276095,0.0014053305230806337,0.9960610367451669,1.0089717325168353,4.839524268312642,42.010129338203114,-179.94951571957904,179.97228230119282,84.97816404658191,5.412636888679858,70.6509157557797,104.54027634820307,16.996857151285475,1.0805534352192323,14.239586167222361,20.46595842600545,135.9965200431753,23.8512649269279,0.0,155.00000154999782,11.940980207978397,3.1016955038547036,-2.9434650336706123,22.877926509666306
16,1.0084135337222135,0.0016338967940866644,0.9985413275029216,1.0178552628904767,6.553173903087552,42.04930715900578,-179.99025250749912,179.99923848308566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.011291792049749,0.0016977161955841113,0.9969619834940757,1.0180722940608518,7.065356165995256,42.0680607069182,-179.99119888941505,179.98477468468968,282.97936363234027,18.001818999898237,237.97560787085303,345.29579802940003,57.79310623073676,3.670294058364199,48.41481807466039,70.20574557969965,276.6943039972308,62.13432679277305,0.0,400.0000039999334,51.760110451800735,5.476971874878049,0.0,70.34573162612593
