bus,Vm_mean,Vm_std,Vm_min,Vm_max,Va_mean,Va_std,Va_min,Va_max,Pd_mean,Pd_std,Pd_min,Pd_max,Qd_mean,Qd_std,Qd_min,Qd_max,Pg_mean,Pg_std,Pg_min,Pg_max,Qg_mean,Qg_std,Qg_min,Qg_max
0,1.0357535004357379,0.007940267254761307,0.9839658072168221,1.0500000051905327,-9.887258108864645,3.3092541156523922,-27.555213229876443,2.553397905975743,94.65447272441807,8.684337728858194,76.71694014968661,128.57522115394326,19.28702324238986,1.7731727073785406,15.671645644967873,26.245235258730716,149.4711236223418,41.862406889213275,46.39999724981604,192.00000385624207,-5.483805194767738,11.356573036414003,-42.6906904367766,79.59947266260042
1,1.03578235159034,0.008037931077929427,0.9854184050725959,1.0500000090147925,-9.930233142693922,3.3272364281365387,-27.588661066366683,2.1937508948257403,85.04761920602738,7.795150697799682,68.5283422385931,115.22576973841684,17.53234045126627,1.6076041744697467,14.245440984542398,23.79129267638712,149.51385181037057,41.42782719190929,46.399997252544225,192.00000387343079,-3.4862748533036783,24.104792061507442,-31.97947557374706,303.78920827488594
2,1.015227827276878,0.011585909514668044,0.8568002151143347,1.0313228794508957,-10.398824882159904,3.0918902161298982,-31.82622766290595,3.3575553756794534,157.79087714309824,14.453084900784773,127.9788323759557,213.98012527646384,32.44004290580048,2.971923004442832,26.21368140674554,44.09137389269682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.012594405804858,0.006040980883730354,0.933019341092795,1.0264487395591486,-11.927728216836027,2.6438140622734423,-29.229278138853346,-2.190981365000738,64.86770841995228,5.953621930051665,52.55028059543556,87.74037584295199,13.152215767796775,1.205405732759163,10.717582571834132,17.934532149951156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0302872247192627,0.005413795580925354,0.9592128192332872,1.0484092829410472,-12.007991392106476,2.7306221114079556,-27.686146519683774,-2.6303661712694293,62.2319312458853,5.699972979860373,50.34331653821144,84.94796705748647,12.271855984242153,1.128036781245982,9.902299441862553,16.5906297121936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0282226314595309,0.038867504599373645,0.5357698011468195,1.0497988934325415,-14.13454074869473,3.2111334104726827,-50.33689276209154,-5.54617548790003,119.23562304212805,10.924326562357741,96.42849847405942,161.6799792967891,24.54392263342815,2.2485519185171365,19.94384929116574,33.37889977996722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0378432717576729,0.013930080277984445,0.9795645811155873,1.0500000081734768,-8.911740628387083,5.472615792024298,-44.877588788990494,7.5311831741615265,109.58752724087829,10.055426444929722,88.35154975425137,149.66532606733668,21.915517925868905,2.0122292950392646,17.76013097484147,29.890151934183134,219.07376238549284,58.43343277221962,49.99999815799091,300.0000029032272,39.73113149061542,9.584308512772036,15.854639202846073,118.77001086588595
7,1.0125157121955246,0.00909083566008634,0.9377109970258346,1.0305828787467832,-12.387342085829676,3.886228552914735,-42.44799375563423,1.24308921696354,149.89981209407213,13.758114222128823,121.15210723141854,204.0952234016776,30.675289205340317,2.811465787350769,24.7301908670408,41.797895446927036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0235548973694104,0.005086286552343298,0.9296672626608148,1.0354993204239042,-9.852765662913756,2.1023801802490776,-22.637399991287737,-1.7939022212613907,153.41575564849285,14.073124987133994,123.79732612080919,208.90001109173724,31.560210683978294,2.887905824476575,25.481150946238373,42.78949448054749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0487053295648172,0.0052759261642265215,0.9651476185006254,1.064392247981554,-11.278094597862921,2.2509560704402087,-25.968125912771086,-3.7776774430877538,170.9109066941421,15.685656161789694,138.80707275252695,233.00960313860992,35.06670095422293,3.2286306211525817,28.301073991892125,47.75741719517457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.016393927789694,0.004564794952106271,0.9616642420719508,1.0395983280477192,-5.028473770118982,1.7350820219908414,-20.5294097798685,1.6588155928189963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0157104355387894,0.004301242717103409,0.9473223321035811,1.0361064483665767,-3.773646081912808,1.3611990071911693,-15.735827846824378,1.7463308103559996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0286475621991225,0.008919871053158817,1.0005791413968557,1.050000008126874,0.0,0.0,0.0,0.0,232.25322778271092,21.353486747338984,189.41241921897043,316.0577407526703,47.33975658698313,4.340537359048324,38.48713206271077,64.2019940052849,479.2960396432584,122.88244115406023,206.76526546442932,1009.2656770232968,48.200570979595064,35.156404160933725,-47.522749683052126,260.40369816054783
13,1.0257801190721387,0.007459473610153305,0.9967631220545232,1.049999987929504,-3.9372004282287683,2.7866982516146477,-18.955882097347484,15.048241404655556,170.09733961716486,15.618870555602735,137.2263101788373,229.78719457770833,34.18705072644277,3.135618507477712,27.631504762380672,46.39204619664105,-2.2231518763368134e-20,5.790278150925502e-18,-8.619461116065251e-16,4.082318789000135e-16,41.87380222915794,27.914991075939398,-22.002238098064872,218.2307729908552
14,1.0414419734028206,0.004329332589783101,1.0128576566011758,1.0492194511114368,1.1185193929821824,4.256461782394266,-18.45583741419651,24.62653277336517,277.9822444054507,25.46442485853377,226.8465549860456,376.6535190020606,56.101050669206074,5.162793730670499,45.37595604071427,76.20002618932465,161.5775700641455,51.00116466257631,11.999995816702192,215.0000063348634,101.39884126946482,19.43544114224851,-2.1269558939369944,197.85632580377234
15,1.0406376302580786,0.005003536592586349,1.0091803026301205,1.049999968529606,0.9004005207086028,3.8020499527042912,-17.693661412612983,24.310444035291795,87.66110042930143,8.055585047307934,70.6509157557797,119.46170708650243,17.53169063258868,1.6055578725732087,14.239586167222361,23.708368548080845,116.80359069750382,48.128092154485024,0.0,155.0000015188565,58.19614123411576,20.69213551353456,-24.03836803180184,190.41457445996187
16,1.045328501836243,0.004210634385435483,1.0134211779132727,1.051936607336837,3.47956755408299,4.777261409339441,-17.447007215171567,28.65584672985824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.046561162830148,0.0047993913706721935,1.0099610681166449,1.050000006741914,4.140726634417749,5.263245517667893,-18.51285607520589,30.163056544397904,291.906575180197,26.809221607751063,237.97560787085303,398.70002408404923,59.6195750845526,5.474909470164231,48.41481807466039,80.36750417240927,271.4678110378013,140.76076135212986,0.0,400.00000396683316,55.28076928266815,12.863016185830565,0.0,147.2117153492083
18,1.0348911546479893,0.005152080531041785,1.0039222778308405,1.0445273695197927,0.7863154460964641,3.0188828857364935,-13.240647089045865,19.776831401194272,158.6965218628511,14.546822352130063,128.36449456527347,216.09248906508716,32.43280043528101,2.980233307168752,26.265993766122076,44.19005500215785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
