scenario_id,total_gen_power,total_gen_reactive,num_gens_at_pmax,num_gens_at_pmin,num_gens_at_limit,num_gens_in_service,total_load_p,total_load_q,total_gen_at_bus,avg_voltage,min_voltage,max_voltage,voltage_std,max_angle_deg,min_angle_deg,angle_spread_deg,power_imbalance,power_imbalance_pct,max_branch_flow,avg_branch_flow,max_line_loading_pct,avg_line_loading_pct
0,2201.3034373534256,307.67681155029175,1,1,2,32.0,2164.895644176565,439.7810408129613,2201.3034373534256,1.0007636075938666,0.9703131633910556,1.0248106299825404,0.01155004469846872,117.28104079525474,86.84203063344103,30.439010161813712,36.40779317686065,1.6817343263078457,329.91936001995276,99.42044545545748,96.51975579526304,25.182845468181284
1,2198.476037387092,317.72417127169274,1,1,2,33.0,2164.895644176565,439.7810408129613,2198.4760373870927,0.9987556434568837,0.9639437320272897,1.0230668833615797,0.013958979660881119,27.824450022134386,-2.326162608127362,30.150612630261747,33.58039321052729,1.5511321897134611,297.50435884716586,95.92624422893019,60.53181134377519,23.971562254056803
2,2193.2395600012783,286.58070039599926,1,1,2,33.0,2164.895644176565,439.7810408129613,2193.2395600012783,1.0012090112652479,0.9736969767269087,1.025697215578386,0.011358613285891661,-119.91865829640312,-145.16295137432212,25.244293077918996,28.34391582471335,1.309250905509313,236.39685127294513,89.41193460524237,52.29778712488673,22.596764898398717
3,2193.2395600012783,286.58070039599926,1,1,2,33.0,2164.895644176565,439.7810408129613,2193.2395600012783,1.0012090112652479,0.9736969767269087,1.025697215578386,0.011358613285891661,-119.91865829640312,-145.16295137432212,25.244293077918996,28.34391582471335,1.309250905509313,236.39685127294513,89.41193460524237,52.29778712488673,22.596764898398717
4,2193.8741567453626,254.0903557885028,1,1,2,33.0,2164.895644176565,439.7810408129613,2193.8741567453626,1.0002541746546019,0.9737690089061992,1.0210279597928789,0.011673066155467133,45.439314909309076,19.231796634067393,26.207518275241682,28.97851256879767,1.338563946338387,290.74844831873423,85.01571245996789,99.60055793999787,22.14662472418613
5,2201.0637583315156,300.6399929112472,1,1,2,32.0,2164.895644176565,439.7810408129613,2201.063758331516,1.0009858944927286,0.9709877828490482,1.0251670567444102,0.01143835144967248,-59.071838636723314,-89.15110166719059,30.079263030467274,36.16811415495067,1.6706631680949915,334.73180219698094,98.44422759707584,99.32663136052618,24.883930401512213
6,2187.355758761353,227.46671807914382,2,5,7,33.0,2164.895644176565,439.7810408129613,2187.3557587613536,1.0036868772958714,0.9763847371390935,1.0358753423408318,0.013173623420142893,1.450353839065997,-18.525277531935984,19.97563137100198,22.460114584788244,1.0374686948631708,225.02006788582406,77.51852076436266,60.805638961234564,20.513802317483062
7,2194.2674304239717,300.78337515236666,1,1,2,33.0,2164.895644176565,439.7810408129613,2194.2674304239717,1.0008953304525303,0.973095416126288,1.025074084029746,0.01153206261509012,-2.8027817417277845,-28.545855698565845,25.74307395683806,29.371786247406817,1.3567298879470289,241.9002228028265,90.78021197866224,51.91119634663741,22.867225672188535
8,2194.909907448568,311.09551225331404,1,1,2,33.0,2164.895644176565,439.7810408129613,2194.909907448568,1.00051145999469,0.9719027096350292,1.0243508032003148,0.01164021268988511,-1.8921655916659859,-28.36501345640309,26.472847864737105,30.014263272003063,1.386406931564557,278.76087309340403,89.78368682767449,55.752174618680804,22.618250075669767
9,2186.244956308847,224.96406054426902,1,1,2,33.0,2164.895644176565,439.7810408129613,2186.244956308847,1.0035133972782218,0.9775939874406918,1.0276524981568138,0.01108974290743429,-7.053597841215463,-27.101332313088022,20.04773447187256,21.349312132282193,0.9861589490334335,220.31168632581281,76.21709246759727,60.48566878642495,19.993519789080334
