load_scenario_idx,Generation,Load,Losses
0.0,47695.63386889401,47199.894115577095,495.73975331691327
1.0,42148.85555327314,41720.43776322686,428.4177900462819
2.0,38115.30347629444,37721.5368525282,393.76662376623426
3.0,43816.11551192287,43339.83392538157,476.2815865412995
4.0,43126.62022086227,42697.84814083816,428.7720800241077
5.0,43736.48710758794,43191.47315111672,545.0139564712226
6.0,45227.04432676265,44735.37277501384,491.67155174880463
7.0,44200.751006221566,43651.59137677271,549.1596294488554
8.0,42714.788541605034,42247.47044422219,467.3180973828421
9.0,47521.74961430999,47012.013356483316,509.7362578266766
10.0,43208.85284778144,42708.57599074416,500.2768570372791
11.0,47542.800975215316,46964.98048995577,577.8204852595445
12.0,48199.5725536015,47665.47058715185,534.1019664496489
13.0,46414.004875597086,45824.33505041515,589.6698251819325
14.0,43897.706771002995,43440.23858247411,457.4681885288883
15.0,49011.51581648103,48483.73095553411,527.7848609469147
16.0,43705.385451382,43216.74776290534,488.6376884766578
17.0,43821.63409447648,43279.82787281738,541.8062216590988
18.0,48999.593128252636,48479.52424486118,520.0688833914537
19.0,41636.0487235524,41136.3481944621,499.7005290902962
20.0,45592.958745593096,44981.347461040255,611.6112845528405
21.0,43653.60103115646,43174.11094725008,479.49008390637755
22.0,47270.6813165051,46705.31585999,565.365456515101
23.0,47014.84658804795,46440.536829410485,574.3097586374643
24.0,49210.50963622646,48691.66851739202,518.8411188344398
25.0,45644.153938801916,45127.72292116597,516.4310176359431
26.0,40367.40915464744,39952.607877276576,414.8012773708615
27.0,40236.92420355943,39822.67973706547,414.2444664939612
28.0,46161.99555252242,45736.29804597956,425.69750654286327
29.0,41284.12578757721,40870.45109297211,413.6746946051062
30.0,42538.981926212466,42102.29887763793,436.6830485745377
31.0,47140.25290524891,46578.99731935204,561.2555858968699
32.0,46046.91200223109,45517.448523668674,529.4634785624148
33.0,46948.761729442405,46444.12925955172,504.63246989068284
34.0,46634.33932459967,46126.48236421553,507.8569603841388
35.0,49282.8044812307,48689.19490785669,593.6095733740076
36.0,45348.30105208572,44839.088602297204,509.2124497885161
37.0,46915.09009380391,46337.8452838969,577.2448099070098
38.0,48471.90903572186,47950.49609979048,521.4129359313811
39.0,46436.088320550014,45980.83486197499,455.25345857502543
40.0,50085.53171736682,49539.409062265564,546.1226551012587
41.0,49361.14684538858,48804.20738534497,556.9394600436135
42.0,51952.25845032329,51394.2501394145,558.0083109087864
43.0,52133.23440904613,51450.5014519136,682.7329571325245
44.0,49103.1676230445,48578.547404537436,524.6202185070651
45.0,45338.46101946656,44785.08554747303,553.3754719935314
46.0,46616.508827143065,46095.13124999916,521.3775771439032
47.0,44220.75135927261,43657.030732554944,563.7206267176662
48.0,46156.79352468573,45581.29157044033,575.5019542454029
49.0,39202.296530485946,38759.64026557287,442.6562649130792
50.0,43367.29102809848,42899.11388292391,468.17714517456625
51.0,46443.9361225164,45868.82103706112,575.1150854552834
52.0,42367.02908901829,41910.06942809611,456.95966092217714
53.0,39174.500114294526,38732.462908883026,442.0372054114996
54.0,43371.27269332395,42942.37378054789,428.89891277605784
55.0,46169.95644241838,45656.487449658554,513.4689927598229
56.0,50458.39626086315,49925.39788035196,532.9983805111915
57.0,50030.14533639428,49465.18530239432,564.9600339999597
58.0,49392.96260054191,48732.49249687319,660.4701036687256
59.0,50136.65459021928,49532.277938175546,604.3766520437348
60.0,48030.31578320538,47482.70614891821,547.6096342871679
61.0,53756.7189789187,53122.535843173595,634.1831357451083
62.0,48919.258543935706,48358.83184316226,560.4267007734452
63.0,51510.40273452726,50903.35294985727,607.0497846699946
64.0,49075.857054282475,48482.75428805064,593.1027662318374
65.0,47495.79781390702,46902.509862484294,593.2879514227243
66.0,51101.239654494595,50452.21068667601,649.0289678185873
67.0,53755.773764082594,53041.6855992388,714.0881648437935
68.0,45445.468127609616,44856.903534717094,588.5645928925223
69.0,54365.47904134886,53661.79682818474,703.6822131641165
70.0,51476.98715264522,50850.535831293884,626.4513213513346
71.0,52056.17088026384,51408.18948949126,647.9813907725766
72.0,53001.53132470983,52398.29028139023,603.2410433195982
73.0,46194.65117617073,45671.04443734913,523.6067388216034
74.0,46437.074489332736,45931.381116405675,505.6933729270604
75.0,48908.151305633706,48365.03810483617,543.1132007975393
76.0,44457.750260701396,43957.881437990174,499.8688227112216
77.0,50697.754777853144,50100.195166686775,597.559611166369
78.0,45705.01008601758,45150.50687555851,554.5032104590719
79.0,53259.68968794892,52599.52210568001,660.167582268914
80.0,51854.516502888066,51143.82958406154,710.6869188265264
81.0,55259.10571278457,54473.961037339745,785.1446754448261
