Branch,From Bus (GRIDFM),To Bus (GRIDFM),From Bus (PSCAD),To Bus (PSCAD),TAP Ratio,Phase Shift (deg),R (pu),X (pu),Type
1,0,1,1,2,0.0,0.0,0.01938,0.05917,Line
2,0,4,1,5,0.0,0.0,0.05403,0.22304,Line
3,1,2,2,3,0.0,0.0,0.04699,0.19797,Line
4,1,3,2,4,0.0,0.0,0.05811,0.17632,Line
5,1,4,2,5,0.0,0.0,0.05695,0.17388,Line
6,2,3,3,4,0.0,0.0,0.06701,0.17103,Line
7,3,4,4,5,0.0,0.0,0.01335,0.04211,Line
8,3,6,4,7,0.978,0.0,0.0,0.20912,Transformer
9,3,8,4,9,0.969,0.0,0.0,0.55618,Transformer
10,4,5,5,6,0.932,0.0,0.0,0.25202,Transformer
11,5,10,6,11,0.0,0.0,0.09498,0.1989,Line
12,5,11,6,12,0.0,0.0,0.12291,0.25581,Line
13,5,12,6,13,0.0,0.0,0.06615,0.13027,Line
14,6,7,7,8,0.0,0.0,0.0,0.17615,Line
15,6,8,7,9,0.0,0.0,0.0,0.11001,Line
16,8,9,9,10,0.0,0.0,0.03181,0.0845,Line
17,8,13,9,14,0.0,0.0,0.12711,0.27038,Line
18,9,10,10,11,0.0,0.0,0.08205,0.19207,Line
19,11,12,12,13,0.0,0.0,0.22092,0.19988,Line
20,12,13,13,14,0.0,0.0,0.17093,0.34802,Line
