Branch,From(PSCAD),To(PSCAD),From(GRIDFM),To(GRIDFM),R(pu),X(pu),B(pu),TAP,Shift(deg),Pf(MW),Qf(MVAr),Pt(MW),Qt(MVAr),Status,Type
0.0,1,2,0,1,0.01938,0.05917,0.0528,1.0,0.0,213.07802912418953,-4.144339213310888,-205.24675085036233,22.294777803069866,1.0,Line
1.0,1,5,0,4,0.05403,0.22304,0.0492,1.0,0.0,91.41218514086553,9.449204845392648,-87.32225874504935,2.185163686745681,1.0,Line
2.0,2,3,1,2,0.04699,0.19797,0.0438,1.0,0.0,80.18566030901212,-2.0164509747133548,-77.3301059086664,9.52516754569491,1.0,Line
3.0,2,4,1,3,0.05811,0.17632,0.034,1.0,0.0,59.00175612170465,-2.71517712129255,-57.08939025108152,5.0121213506304105,1.0,Line
4.0,2,5,1,4,0.05695,0.17388,0.0346,1.0,0.0,42.18933498444401,-0.2631993390192766,-41.2299708798631,-0.3857836693909322,1.0,Line
5.0,3,4,2,3,0.06701,0.17103,0.0128,1.0,0.0,-26.28989315187862,11.233859269855042,26.843882370571247,-11.106791059923218,1.0,Line
6.0,4,5,3,4,0.01335,0.04211,0.0,1.0,0.0,-70.14011316589765,16.149416329715574,70.82889659467129,-13.976781858879686,1.0,Line
7.0,4,7,3,6,0.0,0.20912,0.0,0.978,0.0,30.362562983170992,-6.507648073403427,-30.362562983170992,8.428486753233422,1.0,Transformer
8.0,4,9,3,8,0.0,0.55618,0.0,0.969,0.0,17.44306138306083,0.3529050540322487,-17.44306138306083,1.230240778124636,1.0,Transformer
9.0,5,6,4,5,0.0,0.25202,0.0,0.932,0.0,49.3633330209679,10.577410535078169,-49.3633330209679,-5.0545756109683815,1.0,Transformer
10.0,6,11,5,10,0.09498,0.1989,0.0,1.0,0.0,8.543602870129572,5.300497973037292,-8.458150930044415,-5.121550922258859,1.0,Line
11.0,6,12,5,11,0.12291,0.25581,0.0,1.0,0.0,8.673266260177135,2.736279192801544,-8.582787194478122,-2.547967014813829,1.0,Line
12.0,6,13,5,12,0.06615,0.13027,0.0,1.0,0.0,19.826463548956696,8.213707359531677,-19.55532055416185,-7.679742160258477,1.0,Line
13.0,7,8,6,7,0.0,0.17615,0.0,1.0,0.0,0.0,-11.978370337438715,0.0,12.21217715077243,1.0,Line
14.0,7,9,6,8,0.0,0.11001,0.0,1.0,0.0,30.36256367812511,3.5498847246710596,-30.36256367812511,-2.5988761106127356,1.0,Line
15.0,9,10,8,9,0.03181,0.0845,0.0,1.0,0.0,5.326558676747171,2.5629649704738746,-5.31621191678334,-2.5354798646285595,1.0,Line
16.0,9,14,8,13,0.12711,0.27038,0.0,1.0,0.0,10.02906366975245,2.615926879299307,-9.901950361593984,-2.3455398424029603,1.0,Line
17.0,10,11,9,10,0.08205,0.19207,0.0,1.0,0.0,-4.583788265358947,-3.2645200551560847,4.6081511577307674,3.321550899005666,1.0,Line
18.0,12,13,11,12,0.22092,0.19988,0.0,1.0,0.0,1.8727872039974411,0.9479670119260118,-1.8638479816632156,-0.9398791440997888,1.0,Line
19.0,13,14,12,13,0.17093,0.34802,0.0,1.0,0.0,6.569168687563617,2.819621301021931,-6.488049746572474,-2.6544600429411163,1.0,Line
