time,PSCAD,GridFM
0,0,1.063
0.05,0.461473177,1.063
0.1,0.817874063,1.063
0.15,0.964308636,1.063
0.2,1.018851963,1.063
0.25,1.043588515,1.063
0.3,1.053383119,1.063
0.35,1.057066703,1.063
0.4,1.058431329,1.063
0.45,1.058931777,1.063
0.5,1.059117315,1.063
0.55,1.059182987,1.063
0.6,1.059209609,1.063
0.65,1.059216998,1.063
0.7,1.059225454,1.063
0.75,1.059226793,1.063
0.8,1.059227139,1.063
0.85,1.059227239,1.063
0.9,1.05922726,1.063
0.95,1.059227254,1.063
1,1.05922724,1.063
1.05,1.059227224,1.063
1.1,1.059227209,1.063
1.15,1.059227195,1.063
1.2,1.059227183,1.063
1.25,1.059227172,1.063
1.3,1.059227162,1.063
1.35,1.059227153,1.063
1.4,1.059227146,1.063
1.45,1.059227139,1.063
1.5,1.059227133,1.063
1.55,1.059227128,1.063
1.6,1.059227123,1.063
1.65,1.059227119,1.063
1.7,1.059227115,1.063
1.75,1.059227112,1.063
1.8,1.059227109,1.063
1.85,1.059227107,1.063
1.9,1.059227104,1.063
1.95,1.059227102,1.063
2,1.059227101,1.063
